   alt                        press                      den                        temp                       eddy                       H2O                        CO2                        N2                         H2                         CH4                        CO                         
   9.97163605237456409E+002   6.05343004917808053E-009   2.03929373800497314E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224852E-010   1.22046193895224852E-010
   1.00818198761577082E+003   5.01402652922355529E-009   1.68913703803759003E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.01920036999408524E+003   4.15295144045999971E-009   1.39905603896731598E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.03021875237239965E+003   3.43962013653564513E-009   1.15874731326999451E+011   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.04123713475071418E+003   2.84869464942254671E-009   9.59674946742706299E+010   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224819E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.05225551712902848E+003   2.35918277192463448E-009   7.94767035302300568E+010   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.06327389950734300E+003   1.95369213134208305E-009   6.58164395568832474E+010   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.07429228188565753E+003   1.61781250946126764E-009   5.45012479372489090E+010   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798688E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.08531066426397183E+003   1.33960429919148713E-009   4.51289043823454056E+010   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   1.09632904664228636E+003   1.10917481526240325E-009   3.73661417864168015E+010   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
